text length, number of words to process, naver DICT ping, MC, time
123,20,1.032667875289917,5,9.079099893569946
28,5,1.5844061374664307,4,7.203735113143921
165,24,1.7219409942626953,10,28.119977235794067
162,27,9.059592962265015,5,16.342865228652954
126,21,0.4765748977661133,8,14.493030786514282
